state,fips,total_vaccinations,total_distributed,people_vaccinated
Washington,53,1008946.0,1405100.0,780179.0
Illinois,17,1539781.0,2327100.0,1198096.0
California,06,4957297.0,7607100.0,3994969.0
Arizona,04,897757.0,1370175.0,719051.0
Massachusetts,25,883945.0,1393725.0,687093.0
Wisconsin,55,796703.0,1059200.0,619711.0
Texas,48,3568618.0,5010525.0,2672352.0
Nebraska,31,241067.0,398575.0,169053.0
Utah,49,510267.0,554050.0,307059.0
Oregon,41,589035.0,831350.0,434561.0
Florida,12,2835535.0,4258875.0,2064585.0
New York,36,0,0,0
Rhode Island,44,124962.0,208350.0,87862.0
Georgia,13,1223850.0,1914800.0,946505.0
New Hampshire,33,176192.0,277225.0,125466.0
North Carolina,37,1336079.0,1831875.0,1033527.0
New Jersey,34,1148733.0,1688975.0,883576.0
Colorado,08,787041.0,1110575.0,557204.0
Maryland,24,721159.0,1101200.0,551581.0
Nevada,32,366333.0,521200.0,291370.0
Tennessee,47,839686.0,1225075.0,577121.0
Hawaii,15,194035.0,296250.0,142259.0
Indiana,18,795702.0,1291675.0,617918.0
Kentucky,21,584947.0,840400.0,442691.0
Minnesota,27,745290.0,1058225.0,541133.0
Oklahoma,40,606406.0,779400.0,440614.0
Pennsylvania,42,1538058.0,2437975.0,1176825.0
South Carolina,45,608062.0,732700.0,475116.0
District of Columbia,11,108475.0,179725.0,75351.0
Kansas,20,319662.0,553750.0,241127.0
Missouri,29,669658.0,1021500.0,507801.0
Vermont,50,93862.0,134075.0,65577.0
Virginia,51,1187340.0,1559275.0,925586.0
Connecticut,09,574750.0,801325.0,423296.0
Iowa,19,368759.0,540375.0,268974.0
Louisiana,22,639019.0,882350.0,448139.0
Ohio,39,1406437.0,2151175.0,1077597.0
Michigan,26,1358924.0,1865325.0,971480.0
South Dakota,46,136438.0,173275.0,94744.0
Arkansas,05,418054.0,581875.0,311339.0
Delaware,10,130116.0,183250.0,103319.0
Mississippi,28,345507.0,570075.0,277287.0
New Mexico,35,354627.0,411350.0,258073.0
North Dakota,38,130019.0,143400.0,88917.0
Wyoming,56,79515.0,117475.0,61170.0
Alaska,02,156255.0,260300.0,112448.0
Maine,23,193246.0,285800.0,141778.0
Alabama,01,515802.0,861175.0,412462.0
Idaho,16,205379.0,310025.0,155238.0
Montana,30,144343.0,192125.0,106038.0
West Virginia,54,332577.0,380400.0,222233.0
