state,total_vaccinations,total_distributed,people_vaccinated
Washington,2705839.0,3427310.0,1742242.0
Illinois,4469795.0,5664615.0,2909272.0
California,13161027.0,17612260.0,8847129.0
Arizona,2697523.0,3299085.0,1682456.0
Massachusetts,2710203.0,3159090.0,1805897.0
Wisconsin,2160948.0,2542555.0,1373417.0
Texas,8850377.0,12080835.0,5750589.0
Nebraska,712099.0,873070.0,457500.0
Utah,1052347.0,1248930.0,639360.0
Oregon,1414113.0,1851555.0,906252.0
Florida,7332554.0,9981955.0,4524707.0
New York,6700442.0,8921845.0,4487772.0
Rhode Island,403044.0,496165.0,286139.0
Georgia,2814158.0,4284205.0,1710417.0
New Hampshire,478758.0,607415.0,345874.0
North Carolina,3630467.0,4596440.0,2337632.0
New Jersey,3254946.0,3878855.0,2251222.0
Colorado,1987533.0,2536780.0,1262328.0
Maryland,2082976.0,2671490.0,1397258.0
Nevada,1034347.0,1302310.0,651736.0
Tennessee,2007555.0,2823060.0,1300220.0
Hawaii,559118.0,735390.0,349281.0
Indiana,2206988.0,2817710.0,1345400.0
Kentucky,1582305.0,1953155.0,1072092.0
Minnesota,2080648.0,2494350.0,1379321.0
Oklahoma,1519597.0,2132425.0,975627.0
Pennsylvania,4491125.0,5860715.0,3012928.0
South Carolina,1649023.0,2089905.0,1065987.0
District of Columbia,281538.0,415845.0,133611.0
Kansas,931281.0,1371785.0,638421.0
Missouri,1939762.0,2623475.0,1235858.0
Vermont,246663.0,318720.0,158711.0
Virginia,3027633.0,3643465.0,1968155.0
Connecticut,1483587.0,1774555.0,977155.0
Iowa,1155384.0,1377395.0,756625.0
Louisiana,1519050.0,2062360.0,963135.0
Ohio,3928456.0,5173835.0,2507736.0
Michigan,3310710.0,4357770.0,2152908.0
South Dakota,384987.0,469175.0,248205.0
Arkansas,912660.0,1336570.0,602085.0
Delaware,346179.0,461335.0,218487.0
Mississippi,921413.0,1314855.0,604746.0
New Mexico,983709.0,1131335.0,630828.0
North Dakota,325202.0,367000.0,200698.0
Wyoming,214015.0,278515.0,130099.0
Alaska,345987.0,499625.0,210932.0
Maine,528359.0,636990.0,354939.0
Alabama,1363987.0,2080870.0,893767.0
Idaho,566777.0,726515.0,349038.0
Montana,406867.0,517205.0,257975.0
West Virginia,695358.0,879575.0,426168.0
