state,fips,total_vaccinations,total_distributed,people_vaccinated
Washington,53,3834378.0,4834980.0,2409702.0
Illinois,17,6340870.0,8021745.0,4207838.0
California,06,19449615.0,25338590.0,12935569.0
Arizona,04,3653578.0,4538885.0,2276832.0
Massachusetts,25,3868668.0,4604300.0,2519546.0
Wisconsin,55,3140168.0,3470905.0,1990383.0
Texas,48,12565129.0,16832185.0,7968097.0
Nebraska,31,992251.0,1271990.0,628371.0
Utah,49,1466038.0,1733400.0,898948.0
Oregon,41,1988473.0,2552055.0,1270002.0
Florida,12,10204039.0,13882365.0,6343593.0
New York,36,0,0,0
Rhode Island,44,596183.0,684165.0,364970.0
Georgia,13,4150770.0,6237495.0,2726041.0
New Hampshire,33,764940.0,843385.0,545794.0
North Carolina,37,5008165.0,6564440.0,3206121.0
New Jersey,34,4766910.0,5517655.0,3173887.0
Colorado,08,2878136.0,3527450.0,1837148.0
Maryland,24,3043682.0,3811300.0,2012202.0
Nevada,32,1431817.0,1770070.0,899995.0
Tennessee,47,2863871.0,4119970.0,1829918.0
Hawaii,15,742277.0,1011720.0,467072.0
Indiana,18,2972415.0,3640170.0,1814438.0
Kentucky,21,2252894.0,2731145.0,1459286.0
Minnesota,27,2955945.0,3365000.0,1891156.0
Oklahoma,40,2069319.0,2838195.0,1290295.0
Pennsylvania,42,6551136.0,8174805.0,4383439.0
South Carolina,45,2244467.0,3053895.0,1460004.0
District of Columbia,11,396885.0,542795.0,208953.0
Kansas,20,1408174.0,1884795.0,957516.0
Missouri,29,2745801.0,3766895.0,1694322.0
Vermont,50,360030.0,457350.0,226900.0
Virginia,51,4375147.0,5206295.0,2872684.0
Connecticut,09,2092230.0,2577515.0,1338982.0
Iowa,19,1687691.0,1919805.0,1055869.0
Louisiana,22,2093895.0,2903390.0,1277773.0
Ohio,39,5689737.0,7410125.0,3635530.0
Michigan,26,4749818.0,6104740.0,3044568.0
South Dakota,46,529897.0,667495.0,327720.0
Arkansas,05,1305535.0,1908100.0,855314.0
Delaware,10,498720.0,636065.0,326506.0
Mississippi,28,1216256.0,1843015.0,760076.0
New Mexico,35,1342108.0,1514445.0,843781.0
North Dakota,38,445669.0,490330.0,261321.0
Wyoming,56,270862.0,405665.0,161571.0
Alaska,02,420238.0,636665.0,254263.0
Maine,23,756766.0,914940.0,496443.0
Alabama,01,1847243.0,2891780.0,1234131.0
Idaho,16,799887.0,1027045.0,487864.0
Montana,30,557322.0,722595.0,346534.0
West Virginia,54,943140.0,1246555.0,566647.0
