"date","death","deathIncrease","inIcuCumulative","inIcuCurrently","hospitalizedIncrease","hospitalizedCurrently","hospitalizedCumulative","negative","negativeIncrease","onVentilatorCumulative","onVentilatorCurrently","positive","positiveIncrease","states","totalTestResults","totalTestResultsIncrease"
"2021-03-01",504488,1241,44956,9595,1024,46738,869030,116726735,312729,4252,3171,28399281,48092,56,355718749,1224297
"2021-02-28",503247,1051,44907,9802,879,47352,868006,116414006,293739,4252,3245,28351189,54349,56,354494452,1361442
"2021-02-27",502196,1847,44875,10114,1428,48871,867127,116120267,407753,4252,3335,28296840,71245,56,353133010,1670548
"2021-02-26",500349,2141,44791,10466,1933,51112,865699,115712514,510461,4247,3466,28225595,74857,56,351462462,1801764
"2021-02-25",498208,3138,44636,10846,1982,52669,863766,115202053,508495,4233,3567,28150738,75565,56,349660698,1837241
"2021-02-24",495070,2447,44534,11026,2172,54118,861784,114693558,443571,4227,3685,28075173,73258,56,347823457,1464157
"2021-02-23",492623,2241,44420,11272,2164,55058,859612,114249987,358228,4214,3755,28001915,69105,56,346359300,1200854
"2021-02-22",490382,1235,44266,11536,1305,55403,857448,113891759,288459,4200,3804,27932810,52530,56,345158446,1232742
"2021-02-21",489147,1287,44216,11862,997,56159,856143,113603300,292989,4197,3915,27880280,58702,56,343925704,1236230
"2021-02-20",487860,2160,44166,12120,1732,58222,855146,113310311,331507,4197,3932,27821578,72354,56,342689474,1294724
"2021-02-19",485700,2477,44085,12491,2674,59882,853414,112978804,418591,4187,4118,27749224,74676,56,341394750,1874334
"2021-02-18",483223,2616,43964,13045,2497,62300,850740,112560213,397683,4178,4180,27674548,66824,56,339520416,1354242
"2021-02-17",480607,2348,43823,13103,2857,63405,848243,112162530,397739,4154,4271,27607724,66839,56,338166174,1334006
"2021-02-16",478259,1353,43673,13616,2094,64533,845386,111764791,203621,4149,4406,27540885,56312,56,336832168,1057841
"2021-02-15",476906,1078,43553,13799,1130,65455,843292,111561170,294411,4143,4454,27484573,55077,56,335774327,1123926
"2021-02-14",475828,1366,43516,14047,1236,67023,842162,111266759,299910,4141,4538,27429496,72164,56,334650401,1433567
"2021-02-13",474462,3467,43463,14396,1805,69283,840926,110966849,448864,4140,4648,27357332,90642,56,333216834,1766649
"2021-02-12",470995,5427,43389,14775,2347,71497,839121,110517985,508415,4126,4849,27266690,101030,56,331450185,1813462
"2021-02-11",465568,3873,43291,15190,2460,74225,836774,110009570,523238,4113,4970,27165660,102417,56,329636723,1868837
"2021-02-10",461695,3445,43184,15788,3226,76979,834314,109486332,331767,4106,5121,27063243,95194,56,327767886,1389085
"2021-02-09",458250,2795,43000,16129,3144,79179,831088,109154565,462206,4092,5216,26968049,92986,56,326378801,1498336
